,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
00:43.7,0.594857,0.944353221,0.844011645,0.21330936,0.2828988,0.469927807,0.284238152,0.049909603,0.37799984,0.631031325,0.419313442,0.2928549,0.35735524,0.012489237,-0.079722311,0.49012846,-0.2071597,-0.392991998,-0.647595838,0.32433802,1
00:43.8,0.842641625,0.919751464,0.976526491,0.21330936,0.47557353,0.468200862,0.439722084,0.049909603,0.581202822,0.622623063,0.515444692,0.2928549,0.390442443,-0.000497254,-0.035353523,0.49012846,-0.182943136,-0.402647588,-0.643767608,0.32433802,1
00:43.9,1.186811788,0.87364906,1.067380363,0.21330936,0.745223188,0.448969783,0.539876875,0.049909603,0.827385625,0.6029584,0.544493603,0.2928549,0.4393378,-0.016180999,-0.007945986,0.49012846,-0.142857436,-0.415024293,-0.642196774,0.32433802,1
00:44.0,1.2723681,0.806731238,1.113826842,0.21330936,0.81512845,0.409859239,0.585382758,0.049909603,0.837442,0.576403184,0.54798234,0.2928549,0.4556583,-0.032033342,-0.000724808,0.49012846,-0.12374723,-0.430135243,-0.645519504,0.32433802,1
00:44.1,1.2723681,0.73111108,1.124704467,0.21330936,0.81512845,0.363025148,0.590213204,0.049909603,0.837442,0.542369328,0.54798234,0.2928549,0.4556583,-0.042904105,-0.009249208,0.49012846,-0.12374723,-0.447087,-0.650730643,0.32433802,1
00:44.2,1.2723681,0.6490185,1.107805325,0.21330936,0.81512845,0.325959663,0.569592096,0.049909603,0.837442,0.5200295,0.553795928,0.2928549,0.4556583,-0.045710474,-0.030047466,0.49012846,-0.12374723,-0.470533543,-0.647996098,0.32433802,1
00:44.3,1.2723681,0.60678687,1.091503175,0.21330936,0.81512845,0.323654817,0.562031052,0.049909603,0.837442,0.5200295,0.58104189,0.2928549,0.4556583,-0.041838813,-0.043830615,0.49012846,-0.12374723,-0.487094579,-0.625931427,0.32433802,1
00:44.4,1.2723681,0.598184183,1.098742779,0.21330936,0.81512845,0.330697549,0.586008242,0.049909603,0.837442,0.5200295,0.604814746,0.2928549,0.4556583,-0.0365942,-0.044441089,0.49012846,-0.12374723,-0.490553648,-0.59474507,0.32433802,1
00:44.5,1.2723681,0.608326188,1.12631255,0.21330936,0.81512845,0.336960563,0.63123291,0.049909603,0.837442,0.5200295,0.616014563,0.2928549,0.4556583,-0.030656282,-0.036163018,0.49012846,-0.12374723,-0.484602205,-0.560016875,0.32433802,1
00:44.6,1.2723681,0.630590862,1.15963785,0.21330936,0.81512845,0.339892717,0.673836192,0.049909603,0.837442,0.5200295,0.6197005,0.2928549,0.4556583,-0.026104796,-0.023538471,0.49012846,-0.12374723,-0.474874229,-0.530666846,0.32433802,1
